"B12503_001E","B12503_001M","B12503_002E","B12503_002M","B12503_003E","B12503_003M","B12503_004E","B12503_004M","B12503_005E","B12503_005M","B12503_006E","B12503_006M","B12503_007E","B12503_007M","B12503_008E","B12503_008M","B12503_009E","B12503_009M","B12503_010E","B12503_010M","B12503_011E","B12503_011M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Never married","Margin of Error!!Total!!Male!!Never married","Estimate!!Total!!Male!!Ever married","Margin of Error!!Total!!Male!!Ever married","Estimate!!Total!!Male!!Ever married!!Divorced last year","Margin of Error!!Total!!Male!!Ever married!!Divorced last year","Estimate!!Total!!Male!!Ever married!!Not divorced last year","Margin of Error!!Total!!Male!!Ever married!!Not divorced last year","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Never married","Margin of Error!!Total!!Female!!Never married","Estimate!!Total!!Female!!Ever married","Margin of Error!!Total!!Female!!Ever married","Estimate!!Total!!Female!!Ever married!!Divorced last year","Margin of Error!!Total!!Female!!Ever married!!Divorced last year","Estimate!!Total!!Female!!Ever married!!Not divorced last year","Margin of Error!!Total!!Female!!Ever married!!Not divorced last year","id","Geographic Area Name"
"3987483","3932","1903181","3552","648247","9029","1254934","9018","19260","2412","1235674","9051","2084302","4041","584844","12054","1499458","11539","20527","2524","1478931","11903","0400000US01","Alabama"
"582974","828","304543","1457","113521","3346","191022","3425","2356","675","188666","3360","278431","1348","82104","2593","196327","2640","2105","637","194222","2783","0400000US02","Alaska"
"5807263","1878","2867563","2166","1053254","12142","1814309","12081","21857","2552","1792452","12760","2939700","1955","883062","11062","2056638","11049","23552","2965","2033086","11049","0400000US04","Arizona"
"2429708","3636","1178871","3696","381241","7749","797630","8312","12477","1845","785153","8450","1250837","3727","331757","8065","919080","8015","16308","2071","902772","8223","0400000US05","Arkansas"
"32083562","4039","15847000","4820","6474560","25396","9372440","26231","98322","5258","9274118","26362","16236562","3829","5499600","26179","10736962","26554","108127","5768","10628835","27475","0400000US06","California"
"4643242","3035","2324144","3672","837792","11679","1486352","11321","21389","3005","1464963","11288","2319098","3328","670316","8895","1648782","8531","20064","2887","1628718","8888","0400000US08","Colorado"
"2975536","1533","1437239","1845","547263","9330","889976","9073","8607","1764","881369","9275","1538297","2144","492448","6549","1045849","6585","10423","1910","1035426","6769","0400000US09","Connecticut"
"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","0400000US10","Delaware"
"590722","218","276889","475","164836","3574","112053","3606","1322","610","110731","3641","313833","517","178614","4235","135219","4176","1808","666","133411","4317","0400000US11","District of Columbia"
"17791739","5407","8614680","5998","3081257","22048","5533423","21127","64018","4808","5469405","21327","9177059","5383","2635398","19856","6541661","20008","73225","6196","6468436","20798","0400000US12","Florida"
"8451927","6355","4056979","5771","1531796","16777","2525183","17406","34604","3430","2490579","17744","4394948","5539","1422972","17356","2971976","17012","35445","3658","2936531","16759","0400000US13","Georgia"
"1164044","818","579991","1219","222460","4590","357531","4526","4550","1184","352981","4253","584053","946","171574","5354","412479","5382","3884","1073","408595","5532","0400000US15","Hawaii"
"1386609","2304","693793","3095","215664","6645","478129","6585","5566","1233","472563","6533","692816","2559","170981","6606","521835","6752","5667","1316","516168","7022","0400000US16","Idaho"
"10381247","2772","5059081","3380","1942203","12161","3116878","12434","30851","2952","3086027","12350","5322166","3498","1729963","13050","3592203","13283","35231","3180","3556972","14290","0400000US17","Illinois"
"5392554","3850","2630369","4390","913506","9963","1716863","9871","22781","2413","1694082","10586","2762185","4386","789205","10169","1972980","10479","27448","3030","1945532","10333","0400000US18","Indiana"
"2545586","2869","1252744","3239","425560","7215","827184","7170","7272","1215","819912","7366","1292842","2770","348319","6049","944523","6262","9214","1505","935309","6126","0400000US19","Iowa"
"2325350","2927","1151456","3306","379690","7273","771766","7137","8620","1766","763146","7167","1173894","2997","309411","6193","864483","6379","10116","1700","854367","6510","0400000US20","Kansas"
"3629102","3031","1769333","3523","572802","8021","1196531","9254","18755","2433","1177776","8889","1859769","3655","482203","9052","1377566","8300","19444","2245","1358122","8013","0400000US21","Kentucky"
"3742752","2833","1805868","4161","707937","12198","1097931","11619","14418","1950","1083513","11626","1936884","3955","660267","10317","1276617","10095","14803","2052","1261814","10173","0400000US22","Louisiana"
"1134585","1819","551153","1835","176939","5084","374214","5137","4818","1187","369396","5395","583432","1879","145637","4456","437795","4224","4818","941","432977","4308","0400000US23","Maine"
"4931235","2244","2361721","3094","884671","8577","1477050","8235","17986","2309","1459064","8568","2569514","2531","842800","8724","1726714","8969","19045","2433","1707669","9383","0400000US24","Maryland"
"5783050","2155","2778897","2773","1105192","11245","1673705","11265","14742","2216","1658963","11280","3004153","2290","1043943","12468","1960210","12228","22596","2367","1937614","12339","0400000US25","Massachusetts"
"8220666","2740","4017343","3489","1471543","11749","2545800","11585","30112","2147","2515688","11557","4203323","3480","1276405","10167","2926918","10262","28985","2409","2897933","10017","0400000US26","Michigan"
"4525167","2579","2239045","3619","796295","8039","1442750","8743","13660","1662","1429090","8729","2286122","2601","666032","8038","1620090","8112","16315","2039","1603775","7997","0400000US27","Minnesota"
"2401006","3130","1147098","3573","420161","8277","726937","8642","9223","1819","717714","8724","1253908","3605","399610","7487","854298","7464","10918","1984","843380","7966","0400000US28","Mississippi"
"4981108","3933","2417202","4444","815881","12230","1601321","12033","21238","2546","1580083","12270","2563906","4399","699471","9419","1864435","9577","23500","3181","1840935","10461","0400000US29","Missouri"
"870969","1918","435386","2431","139707","4368","295679","3893","3187","866","292492","4000","435583","2223","108924","3411","326659","3530","3975","957","322684","3616","0400000US30","Montana"
"1531482","1625","758393","1858","255719","5213","502674","5245","5228","1110","497446","5420","773089","1866","210686","4676","562403","4764","5405","1107","556998","4777","0400000US31","Nebraska"
"2459348","1597","1228301","1985","456957","7371","771344","7223","11732","1668","759612","7248","1231047","1982","367207","7040","863840","7124","11813","1881","852027","7448","0400000US32","Nevada"
"1147794","1036","564372","1636","194346","4667","370026","4623","4460","1024","365566","4802","583422","1587","157767","4172","425655","4337","4878","1197","420777","4414","0400000US33","New Hampshire"
"7299829","1780","3529975","2546","1312592","12695","2217383","12315","17768","1999","2199615","12424","3769854","2443","1189438","12332","2580416","12767","21328","2576","2559088","12602","0400000US34","New Jersey"
"1698061","2103","835640","2803","320968","6392","514672","5373","5581","1363","509091","5172","862421","2738","271901","7299","590520","6990","5671","1345","584849","7186","0400000US35","New Mexico"
"16168651","3280","7765207","4273","3148762","19341","4616445","18772","42949","3375","4573496","19058","8403444","3666","2979280","20209","5424164","19093","47864","4178","5376300","18342","0400000US36","New York"
"8485855","5333","4077709","5925","1424337","15203","2653372","15759","30149","3378","2623223","16078","4408146","5419","1296838","14602","3111308","14923","38011","3192","3073297","14936","0400000US37","North Carolina"
"609824","1394","312356","1938","116796","4503","195560","4485","2314","793","193246","4430","297468","1891","81302","3831","216166","3662","1407","590","214759","3812","0400000US38","North Dakota"
"9552948","3276","4637848","4604","1687057","15469","2950791","16384","32761","3213","2918030","16012","4915100","3921","1481955","13379","3433145","12766","35313","2756","3397832","12788","0400000US39","Ohio"
"3144933","1877","1542872","3287","508399","6641","1034473","6458","16176","1762","1018297","6683","1602061","2599","414637","7271","1187424","7092","17258","1824","1170166","7023","0400000US40","Oklahoma"
"3469423","2572","1708417","2865","588280","9993","1120137","10104","12868","1900","1107269","10381","1761006","3122","487185","8368","1273821","8005","17783","2492","1256038","8459","0400000US41","Oregon"
"10622654","2733","5157057","3960","1906008","13681","3251049","13744","34022","2611","3217027","13831","5465597","3933","1669777","13116","3795820","13164","35302","3026","3760518","13830","0400000US42","Pennsylvania"
"890851","1764","429374","1684","184309","4497","245065","4799","2215","734","242850","4865","461477","1695","165824","5200","295653","5397","2253","787","293400","5512","0400000US44","Rhode Island"
"4165633","3527","1997791","3978","713840","10640","1283951","9832","14659","2223","1269292","10113","2167842","3841","658472","10237","1509370","10021","16243","2277","1493127","10190","0400000US45","South Carolina"
"701477","2359","350735","2466","120494","4406","230241","3953","2107","719","228134","4133","350742","3104","99751","3965","250991","3303","4248","1041","246743","3523","0400000US46","South Dakota"
"5517634","4218","2661083","5017","904920","11742","1756163","12371","23223","2678","1732940","12198","2856551","4151","799081","12008","2057470","12005","25881","3041","2031589","12345","0400000US47","Tennessee"
"22535123","6785","11100045","6604","4117115","25802","6982930","26597","91086","6499","6891844","27687","11435078","6992","3528149","24335","7906929","25195","96494","6269","7810435","25479","0400000US48","Texas"
"2382849","1946","1192750","2425","398296","6367","794454","6522","8929","1648","785525","6649","1190099","2138","330039","5832","860060","5712","11009","1630","849051","5866","0400000US49","Utah"
"531532","1121","259764","1513","93344","2706","166420","2625","1182","408","165238","2618","271768","1245","76778","2844","194990","2988","1724","446","193266","3036","0400000US50","Vermont"
"6966390","5033","3393328","6190","1213008","12671","2180320","12417","27296","2694","2153024","12596","3573062","5013","1060183","10958","2512879","11242","28946","2984","2483933","12409","0400000US51","Virginia"
"6142755","2913","3054900","3128","1075255","12097","1979645","12220","21571","2351","1958074","11882","3087855","3202","848735","11294","2239120","10627","29563","3091","2209557","10742","0400000US53","Washington"
"1507317","1997","741769","2563","236801","5731","504968","5778","5494","1147","499474","5956","765548","2234","190652","5672","574896","6038","7497","1742","567399","6401","0400000US54","West Virginia"
"4765395","2164","2353828","3013","836237","9549","1517591","9199","15749","1691","1501842","9580","2411567","2543","702200","7762","1709367","7462","14995","1718","1694372","7517","0400000US55","Wisconsin"
"466760","1289","235742","1837","71348","3065","164394","3405","1955","745","162439","3199","231018","1894","57089","3532","173929","3498","2170","829","171759","3658","0400000US56","Wyoming"
"2720841","1035","1276876","2101","563590","8339","713286","8332","6600","1443","706686","8256","1443965","1972","540924","8621","903041","8630","6100","1397","896941","8747","0400000US72","Puerto Rico"
